"sound.files","selec","start","end","bottom.freq","top.freq","sound.id","marker","row","transect","distance","habitat.type","reference","blur.ratio","spectrum.blur.ratio","excess.attenuation","envelope.correlation","spectrum.correlation","signal.to.noise.ratio","tail.to.noise.ratio","tail.to.signal.ratio","cross.correlation"
"ZOOM0001_Tr1.WAV_2",1,0.1,0.30002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1-2","start_marker",2,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_2-1",0.19720420539879,0.186443418638111,7.26716149095994,0.619978081675121,0.84456710680532,12.8764468509604,7.25895130321766,-7.5987138786812,0.714330867867261
"ZOOM0001_Tr1.WAV_3",1,0.1,0.30002267573696,3.208,4.069,"0.2_BB_am_no.harm.wav_2-3","start_marker",3,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_3-1",0.102532389896555,0.120144980962731,15.5710205813027,0.866109187454498,0.984277285074528,25.5868925129369,14.750194583679,-14.6994408579566,0.847572123513082
"ZOOM0001_Tr1.WAV_4",1,0.1,0.30002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3-4","start_marker",4,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_4-1",0.121003320184569,0.134089244447188,13.7079527431703,0.84997577542387,0.952380307113612,31.0713120642204,14.2046708069186,-21.5552328626201,0.841919079574411
"ZOOM0001_Tr1.WAV_5",1,0.1,0.300022675736967,6.905,7.917,"0.2_BB_am_no.harm.wav_4-5","start_marker",5,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_5-1",0.120272237619778,0.161972772976438,13.4795197662492,0.844380513448124,0.992170247930237,9.18353839830013,2.48284311168641,-8.16381511486853,0.744260657200916
"ZOOM0001_Tr1.WAV_6",1,0.1,0.30002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5-6","start_marker",6,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_6-1",0.19893827874566,0.214117676520291,16.4426316691144,0.550852517578575,0.599752434531032,6.26850431576329,-8.0833143974159,-15.3157523382039,0.763289081636542
"ZOOM0001_Tr1.WAV_7",1,0.1,0.30002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6-7","start_marker",7,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_7-1",0.0607876534549769,0.0946084273986684,17.5433158174159,0.938537541066573,0.991261135415696,21.4312355929174,8.08929942611374,-16.579297566418,0.863225730130177
"ZOOM0001_Tr1.WAV_8",1,0.1,0.30002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7-8","start_marker",8,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_8-1",0.103808962638673,0.111732203156219,15.7486929121724,0.91271423130802,0.997917603617631,32.1831771092111,19.5076329559367,-17.5373812400739,0.880030065640473
"ZOOM0001_Tr1.WAV_9",1,0.1,0.30002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8-9","start_marker",9,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_9-1",0.10519594670229,0.164359657456131,2.788681967094,0.773534530397595,0.913317633962163,6.36839772817162,-2.88833247485634,-10.2524512263874,0.601668418787392
"ZOOM0001_Tr1.WAV_10",1,0.1,0.30002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9-10","start_marker",10,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_10-1",0.0816069086973888,0.0399200930623624,15.1857091834697,0.940741097841077,0.998503860038443,23.6986139019983,10.5294280696721,-16.7745652579865,0.790329544284423
"ZOOM0001_Tr1.WAV_11",1,0.1,0.30002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10-11","start_marker",11,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_11-1",0.08378528466757,0.177145130053994,5.98519812826792,0.886800142218916,0.894704239952256,9.4974639560924,4.70641790525224,-6.19486995894428,0.733861226449858
"ZOOM0001_Tr1.WAV_12",1,0.1,0.300022675736974,1.474,2.55,"0.2_BB_am_no.harm.wav_11-12","start_marker",12,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_12-1",0.144662839482418,0.127009274758691,13.3621046229698,0.871931728957834,0.99486192871405,28.5720092434159,15.1353317233686,-17.7009992688562,0.857605178891899
"ZOOM0001_Tr1.WAV_13",1,0.1,0.30002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12-13","start_marker",13,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_13-1",0.24895735942624,0.127835274980943,2.20017227907792,0.531130117488899,0.684517944307216,8.98604105057084,7.42198657928517,-2.83068454416628,0.543444769977096
"ZOOM0001_Tr1.WAV_14",1,0.1,0.30002267573696,7.317,8.141,"0.2_BB_am_no.harm.wav_13-14","start_marker",14,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_14-1",0.148066234030064,0.126219562658464,10.9237102328305,0.730338898490615,0.872580704450059,14.0272597236722,3.24204533678571,-12.9384743474722,0.7503371055358
"ZOOM0001_Tr1.WAV_15",1,0.1,0.30002267573696,0.1,0.81,"0.2_BB_am_no.harm.wav_14-15","start_marker",15,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_15-1",0.120770609870827,0.155924730885127,15.703577571476,0.841343488983454,0.943398830933125,28.4656415805052,18.7374052476573,-14.2381842252824,0.866000653425588
"ZOOM0001_Tr1.WAV_16",1,0.1,0.30002267573696,5.396,6.152,"0.2_BB_am_no.harm.wav_15-16","start_marker",16,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_16-1",0.0840723963375605,0.115466255222482,12.4994253339944,0.889962689561465,0.98235995137917,13.5352026105802,6.15008147697936,-9.42738393301088,0.614881457514678
"ZOOM0001_Tr1.WAV_17",1,0.1,0.30002267573696,9.435,10.377,"0.2_BB_am_no.harm.wav_16-17","start_marker",17,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_17-1",0.132813198304395,0.178477373902887,4.22548894148223,0.662715175831125,0.996403740119679,5.20449025195447,-3.94544560844265,-9.90307354068069,0.750244379519716
"ZOOM0001_Tr1.WAV_18",1,0.1,0.30002267573696,1.23,2.525,"0.2_BB_am_no.harm.wav_17-18","start_marker",18,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_18-1",0.06796162447725,0.133857038771969,12.8519770617046,0.928987758561884,0.846303347203558,28.1768363247548,18.0330477749869,-14.3436896101747,0.832260824021354
