"sound.files","selec","start","end","bottom.freq","top.freq","sound.id","marker","row","transect","distance","habitat.type","reference","blur.ratio","spectrum.blur.ratio","excess.attenuation","envelope.correlation","spectrum.correlation","signal.to.noise.ratio","tail.to.noise.ratio","tail.to.signal.ratio","cross.correlation"
"ZOOM0001_Tr1.WAV_19",1,0.1,0.300022675736974,0.836,1.646,"0.2_BB_am_no.harm.wav_18-19","start_marker",19,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_19-1",0.0582668570441665,0.075312334442911,15.1711830566961,0.953027990959675,0.998120082386711,18.533251357923,9.95176640648718,-11.7812581237671,0.847912199707095
"ZOOM0001_Tr1.WAV_20",1,0.1,0.30002267573696,5.718,7.372,"0.2_BB_am_no.harm.wav_19-20","start_marker",20,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_20-1",0.140660904886963,0.156956142400959,12.0522665496575,0.750537819473297,0.954629628155085,9.00985091854183,1.95512318576008,-8.44701954010865,0.712557330744091
"ZOOM0001_Tr1.WAV_21",1,0.1,0.30002267573696,4.792,5.287,"0.2_BB_am_no.harm.wav_20-21","start_marker",21,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_21-1",0.0996351112356651,0.0678011981574225,15.0814216973871,0.898505955561638,0.994688910074022,19.8150088818345,6.40142534579585,-16.4050953953994,0.804968195689638
"ZOOM0001_Tr1.WAV_22",1,0.1,0.30002267573696,2.461,3.506,"0.2_BB_am_no.harm.wav_21-22","start_marker",22,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_22-1",0.0917204367417995,0.0773316445580197,17.3760442257612,0.966173951782186,0.584446630445729,33.7872616838811,15.0634360550463,-23.831660232541,0.833519690644181
"ZOOM0001_Tr1.WAV_23",1,0.1,0.30002267573696,0.365,1.098,"0.2_BB_am_no.harm.wav_22-23","start_marker",23,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_23-1",0.154228825385802,0.148103603767641,15.0467733226413,0.831307248022891,0.990903783949768,31.6976909200525,16.0614927825495,-20.4744400298175,0.878490865531841
"ZOOM0001_Tr1.WAV_24",1,0.1,0.30002267573696,7.176,7.777,"0.2_BB_am_no.harm.wav_23-24","start_marker",24,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_24-1",0.191459400791339,0.153691859292543,6.63293051609563,0.572953302693361,0.968195727722375,11.5356447765748,4.21297029846564,-9.11582701623786,0.710612690236572
"ZOOM0001_Tr1.WAV_25",1,0.1,0.300022675736967,3.654,5,"0.2_BB_am_no.harm.wav_24-25","start_marker",25,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_25-1",0.0615580299534162,0.0960671346650781,17.9944737384983,0.930314970471391,0.998505104273396,25.2568379143065,13.0938214234932,-15.9653321467124,0.83822550499022
"ZOOM0001_Tr1.WAV_26",1,0.1,0.300022675736967,8.5,9.652,"0.2_BB_am_no.harm.wav_25-26","start_marker",26,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_26-1",0.173887695287624,0.143043725527248,11.7966780804445,0.637283190832282,0.643022559682322,16.1160475587519,10.0581462766945,-8.48238601606784,0.708678264179567
"ZOOM0001_Tr1.WAV_27",1,0.1,0.30002267573696,4.933,6.011,"0.2_BB_am_no.harm.wav_26-27","start_marker",27,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_27-1",0.15285297386955,0.167045735565989,17.1227519796259,0.736723442482303,0.837352005218025,15.9128386666701,2.47235133478307,-15.8403462171281,0.766414459244942
"ZOOM0001_Tr1.WAV_28",1,0.1,0.30002267573696,9.013,10.015,"0.2_BB_am_no.harm.wav_27-28","start_marker",28,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_28-1",0.184231195094408,0.285195411096434,13.1227153860867,0.413118226102965,0.512999517512587,3.02157738167003,1.30793292522538,-2.14817238534792,0.560754324125763
"ZOOM0001_Tr1.WAV_29",1,0.1,0.30002267573696,3.624,4.12,"0.2_BB_am_no.harm.wav_28-29","start_marker",29,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_29-1",0.10324345167652,0.164589105086602,17.4108211898434,0.88024019356112,0.966857931099963,29.5732312641336,16.4477509912024,-17.5937442213145,0.819498328096494
"ZOOM0001_Tr1.WAV_30",1,0.1,0.30002267573696,5.027,5.695,"0.2_BB_am_no.harm.wav_29-30","start_marker",30,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_30-1",0.10029882205296,0.138739788086497,13.8787981784565,0.875344233635579,0.995782091900823,13.5135391374594,-0.59386612051944,-16.1482932440564,0.78322999087716
"ZOOM0001_Tr1.WAV_31",1,0.1,0.30002267573696,4.788,5.593,"0.2_BB_am_no.harm.wav_30-31","start_marker",31,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_31-1",0.0961105362173433,0.129216645680739,16.2456596067609,0.906420162979461,0.993017464939564,13.3345126241931,6.81115724988221,-8.51622760822001,0.806703715724994
"ZOOM0001_Tr1.WAV_32",1,0.1,0.300022675736967,8.076,9.5,"0.2_BB_am_no.harm.wav_31-32","start_marker",32,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_32-1",0.140519591493969,0.149339650591437,13.9648109950006,0.727952523436084,0.640604684625199,15.6420715649558,2.80377401439851,-15.2166391868444,0.699282532886003
"ZOOM0001_Tr1.WAV_33",1,0.1,0.300022675737003,3.158,4.333,"0.2_BB_am_no.harm.wav_32-33","start_marker",33,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_33-1",0.104712372366685,0.114002815182401,15.2631348927438,0.837717268021981,0.960755314558212,28.9132245420928,18.9470605171253,-14.3342566036806,0.822967660979211
"ZOOM0001_Tr1.WAV_34",1,0.1,0.300022675736896,5.941,7.32,"0.2_BB_am_no.harm.wav_33-34","start_marker",34,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_34-1",0.111243460021315,0.102798340553153,10.9591028314969,0.88748186731083,0.998025248411043,12.7194479869645,0.664368353031316,-13.9766738332468,0.758153085919468
"ZOOM0001_Tr1.WAV_35",1,0.1,0.300022675736996,6.838,7.5,"0.2_BB_am_no.harm.wav_34-35","start_marker",35,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_35-1",0.107697651795053,0.126229632371785,13.8066146960711,0.8420257373106,0.998663576783062,17.2794412132298,2.91665676891083,-17.0016247726269,0.845035104879585
"ZOOM0001_Tr1.WAV_36",1,0.1,0.300022675736996,2.66,3.141,"0.2_BB_am_no.harm.wav_35-36","start_marker",36,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_36-1",0.0777677894028985,0.0435027685763171,14.6975371366726,0.939278358186581,0.999783260763773,35.9842222690209,19.7882749098435,-21.6391034894137,0.883810971737645
"ZOOM0001_Tr1.WAV_37",1,0.1,0.300022675736896,1,2.164,"0.2_BB_am_no.harm.wav_36-37","start_marker",37,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_37-1",0.145352971840143,0.1633991932788,11.4433119760028,0.831364819490805,0.633589802415506,25.8724485551257,11.2851249885379,-18.5363394350389,0.816625615896506
"ZOOM0001_Tr1.WAV_38",1,0.1,0.300022675736996,2.077,2.5,"0.2_BB_am_no.harm.wav_37-38","start_marker",38,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_38-1",0.133294394429569,0.0309950453186565,15.1826400208918,0.821608404683231,0.907081960452805,20.9990276772295,4.83001176733333,-19.3431576458588,0.85532023853908
"ZOOM0001_Tr1.WAV_39",1,0.1,0.300022675736896,6.752,7.606,"0.2_BB_am_no.harm.wav_38-39","start_marker",39,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_39-1",0.0945348930858029,0.146405451648699,7.32021927589331,0.912099674210183,0.997630419419116,18.637094215195,6.65393508362157,-14.8144785630538,0.775472307350781
"ZOOM0001_Tr1.WAV_40",1,0.1,0.300022675736996,0.5,1.555,"0.2_BB_am_no.harm.wav_39-40","start_marker",40,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_40-1",0.0878588879740343,0.0441068393867342,14.9942791749043,0.870216059601728,0.994405803268323,27.6681529343609,21.8068879371916,-9.96020447698222,0.866456414070139
"ZOOM0001_Tr1.WAV_41",1,0.1,0.300022675736996,4.209,4.815,"0.2_BB_am_no.harm.wav_40-41","start_marker",41,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_41-1",0.0737014754802687,0.0967054457871372,17.5938668254282,0.952676853857806,0.969868321079482,24.9331121230583,10.3416913884751,-18.3610530579479,0.849540558008739
"ZOOM0001_Tr1.WAV_42",1,0.1,0.300022675736889,5.764,6.869,"0.2_BB_am_no.harm.wav_41-42","start_marker",42,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_42-1",0.0892304395482712,0.0937950730285502,9.97243811037098,0.924091866317446,0.999898859686429,3.93938972019645,-5.81163653634229,-10.4059275296704,0.72955484259397
"ZOOM0001_Tr1.WAV_43",1,0.1,0.300022675737003,7.989,9.542,"0.2_BB_am_no.harm.wav_42-43","start_marker",43,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_43-1",0.151422935902448,0.208708096611757,20.3367605554903,0.704922549302835,0.75045655663228,7.59674820057166,1.85167509677024,-6.93774717030406,0.659033549098961
"ZOOM0001_Tr1.WAV_44",1,0.1,0.300022675736903,5.973,6.905,"0.2_BB_am_no.harm.wav_43-44","start_marker",44,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_44-1",0.0946990225005483,0.0899999465733844,14.4056894105712,0.883448312346651,0.98158161426366,12.4036031804022,4.36540685966168,-9.9192148837612,0.738077022340527
"ZOOM0001_Tr1.WAV_45",1,0.1,0.300022675737003,3.013,3.733,"0.2_BB_am_no.harm.wav_44-45","start_marker",45,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_45-1",0.061090036088924,0.100173571724623,17.8133349376571,0.950883029353098,0.997988468860315,28.7403053048487,16.6164460209627,-16.4671397257714,0.898129179716635
"ZOOM0001_Tr1.WAV_46",1,0.1,0.300022675737003,9.733,10.857,"0.2_BB_am_no.harm.wav_45-46","start_marker",46,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_46-1",0.211574079123013,0.128640777412045,12.8224196819086,0.651136117087977,0.932405120995468,3.2973767045308,1.38715418341774,-2.35377869853818,0.591027985847531
"ZOOM0001_Tr1.WAV_47",1,0.1,0.300022675736903,8.284,9.321,"0.2_BB_am_no.harm.wav_46-47","start_marker",47,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_47-1",0.129484904173872,0.134583708416979,14.5991364627811,0.827594686361593,0.720828124356596,12.9966238454078,0.370112451501928,-14.5831153121328,0.735617995802787
"ZOOM0001_Tr1.WAV_48",1,0.1,0.300022675737003,8,8.539,"0.2_BB_am_no.harm.wav_47-48","start_marker",48,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_48-1",0.212763656605672,0.233992569503067,14.4195742675428,0.457679105035927,0.913448864897766,10.1190771141888,1.77205568079029,-9.83528815524094,0.795170962308545
"ZOOM0001_Tr1.WAV_49",1,0.1,0.300022675737003,2.366,3.388,"0.2_BB_am_no.harm.wav_48-49","start_marker",49,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_49-1",0.0915438479050374,0.117578944626646,15.1412540917711,0.918259407886265,0.968387938705814,36.6997188844175,23.9760609744235,-18.2694962143906,0.823910504799161
"ZOOM0001_Tr1.WAV_50",1,0.1,0.300022675737003,1.048,2.28,"0.2_BB_am_no.harm.wav_49-50","start_marker",50,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_50-1",0.0774647051437542,0.0721337035162651,13.7714824254916,0.928528505947831,0.997857838958945,26.8081796271794,16.5423103664502,-14.292154463707,0.846000374045487
"ZOOM0001_Tr1.WAV_51",1,0.1,0.300022675737003,7.427,8.24,"0.2_BB_am_no.harm.wav_50-51","start_marker",51,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_51-1",0.186115764346467,0.211523659017536,8.68647454089002,0.650339074102484,0.847695951126609,14.9384079052664,4.73540906003381,-12.4396341805555,0.75780891066857
"ZOOM0001_Tr1.WAV_52",1,0.1,0.300022675736903,1.396,2.385,"0.2_BB_am_no.harm.wav_51-52","start_marker",52,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_52-1",0.207999339529208,0.147955102170156,13.0475795573705,0.7286205297456,0.98833806995157,32.2941231250619,19.1095074575713,-18.0798431132423,0.882339779222379
"ZOOM0001_Tr1.WAV_53",1,0.1,0.300022675737003,3.882,5.129,"0.2_BB_am_no.harm.wav_52-53","start_marker",53,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_53-1",0.0634897692888294,0.0687819417194945,13.5937538664394,0.958142232303038,0.993745640817158,20.5229300656266,7.41538222245564,-16.2173298057463,0.821119136717501
"ZOOM0001_Tr1.WAV_54",1,0.1,0.300022675737003,8.618,9.923,"0.2_BB_am_no.harm.wav_53-54","start_marker",54,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_54-1",0.132622815696866,0.195799421761331,13.3488026553189,0.729070889183495,0.985176919535423,9.53608983555672,2.09624424161228,-8.87414392999745,0.67518411204299
"ZOOM0001_Tr1.WAV_55",1,0.1,0.300022675736903,3.511,4.562,"0.2_BB_am_no.harm.wav_54-55","start_marker",55,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_55-1",0.0570266420444465,0.0636193397500179,16.8419795502469,0.964745700488866,0.996613219376403,26.4471209094615,16.9442629623416,-13.5030523529179,0.84600374831044
"ZOOM0001_Tr1.WAV_56",1,0.1,0.300022675737003,4.983,6.01,"0.2_BB_am_no.harm.wav_55-56","start_marker",56,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_56-1",0.197639962853629,0.188541394567258,15.5478294905926,0.764470443617974,0.561143533515648,8.4595808505035,-4.60336077045963,-14.3628504187846,0.698312920663424
"ZOOM0001_Tr1.WAV_57",1,0.1,0.300022675736903,1.168,2.06,"0.2_BB_am_no.harm.wav_56-57","start_marker",57,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_57-1",0.112427402836875,0.0539864477069868,15.3768869263402,0.85654834342737,0.995842366335115,32.5724061905982,17.7634022865699,-19.6592499315024,0.851086064188713
"ZOOM0001_Tr1.WAV_58",1,0.1,0.300022675737003,5.895,6.947,"0.2_BB_am_no.harm.wav_57-58","start_marker",58,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_58-1",0.10965826193973,0.158906564070413,7.83534692173145,0.888729646187409,0.064714083478623,7.98609677658438,2.17798343314887,-6.97510326775184,0.775181911617344
"ZOOM0001_Tr1.WAV_59",1,0.1,0.300022675737003,1.38,2.136,"0.2_BB_am_no.harm.wav_58-59","start_marker",59,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_59-1",0.0959590731808582,0.112586509811508,15.4935566650666,0.906151906536364,0.992889100851373,30.9385592955595,17.1396356267528,-18.4919979661748,0.818767680355861
"ZOOM0001_Tr1.WAV_60",1,0.1,0.300022675736903,7.021,8.197,"0.2_BB_am_no.harm.wav_59-60","start_marker",60,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_60-1",0.140294530204011,0.18095617264626,9.51347348609167,0.758102394323699,0.886457407475206,16.1516231489687,5.3751737892856,-13.2026815743805,0.721185424429108
"ZOOM0001_Tr1.WAV_61",1,0.1,0.300022675737003,3.466,4.218,"0.2_BB_am_no.harm.wav_60-61","start_marker",61,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_61-1",0.108260958613362,0.120937687194241,16.9806040830397,0.896305384990266,0.963193381537413,28.8656461500019,14.695434888427,-18.5273980000394,0.831912515521843
"ZOOM0001_Tr1.WAV_62",1,0.1,0.300022675736903,8.3,8.7,"0.2_pure.tone_am_no.harm.wav_1-62","start_marker",62,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_62-1",0.0486881843150729,0.443206251843913,12.8755180113062,0.95645089464875,0.848224291125211,14.6734007081438,1.35295448326021,-15.5242231562483,0.968748674531538
"ZOOM0001_Tr1.WAV_63",1,0.1,0.300022675737003,3.3,3.7,"0.2_pure.tone_am_no.harm.wav_2-63","start_marker",63,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_63-1",0.0517821542712996,0.559077828310975,17.4878151273222,0.98135072465932,0.994016070177506,27.8936381839878,12.9584270136779,-19.1477536720373,0.983462726984349
"ZOOM0001_Tr1.WAV_64",1,0.1,0.300022675737003,0.8,1.2,"0.2_pure.tone_am_no.harm.wav_3-64","start_marker",64,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_64-1",0.0447028322237362,0.00981090497641104,17.1376951748078,0.979925814338583,0.988606068405052,28.5536019132716,9.75265363746484,-23.7059516209711,0.990912382624329
"ZOOM0001_Tr1.WAV_65",1,0.1,0.300022675736903,6.8,7.2,"0.2_pure.tone_am_no.harm.wav_4-65","start_marker",65,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_65-1",0.0438483389287171,0.0323049207591761,11.3126076229138,0.975180507719263,0.98672915848999,13.4715219166023,5.85775705011987,-9.60633907896607,0.98408386000345
"ZOOM0001_Tr1.WAV_66",1,0.1,0.300022675737003,8.8,9.2,"0.2_pure.tone_am_no.harm.wav_5-66","start_marker",66,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_66-1",0.0504458889292197,0.214281115298261,5.93783526965559,0.906766685773359,0.286974626670839,5.16516245898973,-5.66895290861365,-11.4433578730506,0.947002531101492
"ZOOM0001_Tr1.WAV_67",1,0.1,0.300022675737003,4.3,4.7,"0.2_pure.tone_am_no.harm.wav_6-67","start_marker",67,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_67-1",0.0559666764859113,0.547304601054619,19.187745402335,0.956407341726761,0.991485281895596,24.0780705020784,10.9575958850199,-16.7435545034496,0.978522814535574
"ZOOM0001_Tr1.WAV_68",1,0.1,0.300022675736889,2.3,2.7,"0.2_pure.tone_am_no.harm.wav_7-68","start_marker",68,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_68-1",0.106343829316998,0.507536129812915,16.2323899923624,0.916241613868636,0.999512888522137,33.8847491321932,18.8783429465055,-20.1717301779909,0.975006042229559
"ZOOM0001_Tr1.WAV_69",1,0.1,0.300022675736989,9.3,9.7,"0.2_pure.tone_am_no.harm.wav_8-69","start_marker",69,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_69-1",0.126170694383912,0.653742096849288,0.621692571703555,0.51692481976077,0.41200450107682,2.75406331647735,-4.79293111718979,-7.90901907949844,0.738957467715928
"ZOOM0001_Tr1.WAV_70",1,0.1,0.300022675736903,2.3,2.7,"0.2_pure.tone_am_no.harm.wav_9-70","start_marker",70,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_70-1",0.108173094002827,0.496396254226125,16.3507463320361,0.913201573861156,0.998325662254981,32.1026663931047,18.1922244087691,-18.7549708655115,0.972029205394113
"ZOOM0001_Tr1.WAV_71",1,0.1,0.300022675737003,5.8,6.2,"0.2_pure.tone_am_no.harm.wav_10-71","start_marker",71,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_71-1",0.0733841503375248,0.117940294357463,10.0094832638794,0.929092455866673,0.955919943581792,13.3210612511125,2.9523989415876,-12.3638633419883,0.959305091156483
"ZOOM0001_Tr1.WAV_72",1,0.1,0.300022675737003,1.3,1.7,"0.2_pure.tone_am_no.harm.wav_11-72","start_marker",72,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_72-1",0.0614344183304046,0.421784102826184,17.9247161311014,0.960117230837014,0.999891979512761,30.4910947518616,13.3988015969598,-21.9055804963628,0.984395020504328
"ZOOM0001_Tr1.WAV_73",1,0.1,0.300022675736889,9.8,10.2,"0.2_pure.tone_am_no.harm.wav_12-73","start_marker",73,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_73-1",0.133780762899474,0.393102735629404,3.01130754212574,0.482910762534966,0.334206119093381,4.80461145584123,8.55716442040494,3.15893512238385,0.816101211802
"ZOOM0001_Tr1.WAV_74",1,0.1,0.300022675736989,7.8,8.2,"0.2_pure.tone_am_no.harm.wav_13-74","start_marker",74,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_74-1",0.0555440826322828,0.0631234496747018,16.9774340148662,0.948235519588044,0.931208009043622,18.4250961639837,5.33835215120573,-15.8963793291461,0.970744692341568
"ZOOM0001_Tr1.WAV_75",1,0.1,0.300022675736903,0.3,0.7,"0.2_pure.tone_am_no.harm.wav_14-75","start_marker",75,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_75-1",0.0598660623561101,0.211961497073015,18.6006455931416,0.960693155895215,0.997571354161126,30.4183947526651,17.0836781548856,-19.0318574418723,0.975799914668826
"ZOOM0001_Tr1.WAV_76",1,0.1,0.300022675737017,5.3,5.7,"0.2_pure.tone_am_no.harm.wav_15-76","start_marker",76,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_76-1",0.0838945367933801,0.431489940632604,18.0718488150031,0.88310842327978,0.981701746090834,15.0621181515901,5.59623082302068,-11.7651370439158,0.956100629929847
"ZOOM0001_Tr1.WAV_77",1,0.1,0.300022675737017,9.8,10.2,"0.2_pure.tone_am_no.harm.wav_16-77","start_marker",77,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_77-1",0.103012372459472,0.256445591175818,5.75693476629858,0.698100553966263,0.196288333961729,-2.72269153073051,-3.08249626668216,-0.0507302486403321,0.907389710821549
"ZOOM0001_Tr1.WAV_78",1,0.1,0.300022675736903,1.3,1.7,"0.2_pure.tone_am_no.harm.wav_17-78","start_marker",78,"primary-1",10,"primary","ZOOM0013_Tr1.WAV_78-1",0.0628837929498094,0.526198544114476,16.6254838335858,0.957063130308767,0.999980512817213,28.8983516843053,9.93265412113125,-23.2628696777447,0.984754962787114
