"sound.files","selec","start","end","bottom.freq","top.freq","sound.id","marker","row","transect","distance","habitat.type","reference","blur.ratio","spectrum.blur.ratio","excess.attenuation","envelope.correlation","spectrum.correlation","signal.to.noise.ratio","tail.to.noise.ratio","tail.to.signal.ratio","cross.correlation","peak.frequency"
"ZOOM0001_Tr1.WAV_2",1,0.1,0.30002267573696,7.875,8.805,"0.2_BB_am_no.harm.wav_1-2","start_marker",2,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_2-1",0.193108591908225,0.19115500381691,12.8436196075584,0.664284884252904,0.83081575912935,12.8766453902945,7.26007833049999,-7.5978285301506,0.765478113545301,8.31224196362401
"ZOOM0001_Tr1.WAV_3",1,0.1,0.30002267573696,3.208,4.069,"0.2_BB_am_no.harm.wav_2-3","start_marker",3,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_3-1",0.102463036496444,0.115246777824767,19.1454138728733,0.859230218583919,0.983902329207298,25.5867609123279,14.7500004535475,-14.6994844710321,0.877319488489064,3.84133619225544
"ZOOM0001_Tr1.WAV_4",1,0.1,0.30002267573696,0.422,1.223,"0.2_BB_am_no.harm.wav_3-4","start_marker",4,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_4-1",0.135176442087657,0.205010177265234,20.1907054918096,0.798749767423132,0.965650677751715,31.0684215488566,14.1997193592408,-21.5569982996778,0.849402672111703,0.802856541810771
"ZOOM0001_Tr1.WAV_5",1,0.1,0.300022675736967,6.905,7.917,"0.2_BB_am_no.harm.wav_4-5","start_marker",5,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_5-1",0.129498756779165,0.143931626786441,18.6176384601866,0.841575721267679,0.981980261677467,9.18349471372383,2.48311894011039,-8.16347066737599,0.800268677824234,7.3572912163414
"ZOOM0001_Tr1.WAV_6",1,0.1,0.30002267573696,8.417,9.416,"0.2_BB_am_no.harm.wav_5-6","start_marker",6,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_6-1",0.221028851150816,0.250472399678792,18.1440329858337,0.418146978312729,0.592084999392398,6.26868492430264,-8.08176914227998,-15.3144476185121,0.761424053643544,9.35400641520504
"ZOOM0001_Tr1.WAV_7",1,0.1,0.30002267573696,4.171,4.839,"0.2_BB_am_no.harm.wav_6-7","start_marker",7,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_7-1",0.0711294216702824,0.101652873227935,21.3032621978375,0.924517265161718,0.986918827819622,21.4315834501597,8.08973197058135,-16.5792648979253,0.880420087849325,4.70947323523963
"ZOOM0001_Tr1.WAV_8",1,0.1,0.30002267573696,2.097,2.961,"0.2_BB_am_no.harm.wav_7-8","start_marker",8,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_8-1",0.0668845140134009,0.0733179996055062,19.0828882526582,0.960278092267911,0.999802143609311,32.1821309632717,19.505935890533,-17.5379752787459,0.922932721856464,2.7561648885252
"ZOOM0001_Tr1.WAV_9",1,0.1,0.30002267573696,9.181,10.033,"0.2_BB_am_no.harm.wav_8-9","start_marker",9,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_9-1",0.116886719183986,0.15964910141992,8.1203170525241,0.736937068960625,0.921823940866541,6.3681345275086,-2.88869156047374,-10.2526150649592,0.614736585342822,9.39741326735425
"ZOOM0001_Tr1.WAV_10",1,0.1,0.30002267573696,1.849,2.506,"0.2_BB_am_no.harm.wav_9-10","start_marker",10,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_10-1",0.0807659293543057,0.0360327851946797,19.4538521989723,0.933516848082581,0.999349240903349,23.7007897275293,10.5320594843386,-16.7743905755387,0.828736912617429,2.06165525413785
"ZOOM0001_Tr1.WAV_11",1,0.1,0.30002267573696,5.632,6.83,"0.2_BB_am_no.harm.wav_10-11","start_marker",11,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_11-1",0.10034814127907,0.197796754328242,9.69473823161087,0.852817424985185,0.872137748488784,9.49764684291659,4.70680524925833,-6.19469385080006,0.743400210145077,6.57596787765563
"ZOOM0001_Tr1.WAV_12",1,0.1,0.300022675736974,1.474,2.55,"0.2_BB_am_no.harm.wav_11-12","start_marker",12,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_12-1",0.108320124622016,0.128928983783739,18.8808715864082,0.912280432813134,0.952043809124301,28.5712622930335,15.1345279227006,-17.7009226706796,0.894858999162613,2.10506210628706
"ZOOM0001_Tr1.WAV_13",1,0.1,0.30002267573696,9.598,10.233,"0.2_BB_am_no.harm.wav_12-13","start_marker",13,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_13-1",0.261743720409611,0.1203035120491,6.26416623570651,0.501425553311749,0.739673173010366,8.98626141614683,7.42305929457868,-2.82992632452324,0.576542394872361,9.70126123239871
"ZOOM0001_Tr1.WAV_14",1,0.1,0.30002267573696,7.317,8.141,"0.2_BB_am_no.harm.wav_13-14","start_marker",14,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_14-1",0.157412576799217,0.107375051426189,12.3467740328899,0.70661804736221,0.86840629933865,14.0277941289567,3.24225816225749,-12.9388758467939,0.788990196417145,7.83476658998271
"ZOOM0001_Tr1.WAV_15",1,0.1,0.30002267573696,0.1,0.81,"0.2_BB_am_no.harm.wav_14-15","start_marker",15,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_15-1",0.161573798624919,0.147536467351324,19.6790511133436,0.733082128026206,0.748998340714254,28.4674123490262,18.7391965003116,-14.2384176656162,0.822657212815266,0.542415428915514
"ZOOM0001_Tr1.WAV_16",1,0.1,0.30002267573696,5.396,6.152,"0.2_BB_am_no.harm.wav_15-16","start_marker",16,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_16-1",0.0950746022164369,0.125790485079492,14.7595769250422,0.875611597789412,0.95063353051095,13.5354159600684,6.15022763768903,-9.42748359064661,0.656275169670921,5.4907965739254
"ZOOM0001_Tr1.WAV_17",1,0.1,0.30002267573696,9.435,10.377,"0.2_BB_am_no.harm.wav_16-17","start_marker",17,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_17-1",0.148229598871629,0.176953092004365,7.00295099560279,0.605994802167296,0.995358865649205,5.2029527391448,-3.94674862006541,-9.90263303432388,0.759033110320027,9.70126123239871
"ZOOM0001_Tr1.WAV_18",1,0.1,0.30002267573696,1.23,2.525,"0.2_BB_am_no.harm.wav_17-18","start_marker",18,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_18-1",0.0937038608571867,0.140374686571712,17.9495712585722,0.893198028439102,0.917377209256799,28.1826744858036,18.0397064212606,-14.3437601519977,0.869321675033569,2.49572377562994
"ZOOM0001_Tr1.WAV_19",1,0.1,0.300022675736974,0.836,1.646,"0.2_BB_am_no.harm.wav_18-19","start_marker",19,"primary-1",10,"primary","ZOOM0016_Tr1.WAV_19-1",0.090562882623033,0.0494786562634857,20.9699565162581,0.899139206188384,0.99881526916787,18.5345038393098,9.95482957675462,-11.7795368794515,0.863088833613731,1.23692506330287
