Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	orig.sound.file	sound.id
1	2	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	1	1	Spectrogram 1	1	1333.33333333333	2666.66666666667	start_marker	start_marker
2.05	2.25002267573696	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	2.05	2	Spectrogram 1	1	7875	8805	0.2_BB_am_no.harm.wav_1	0.2_BB_am_no.harm.wav_1-2
2.30002267573696	2.50004535147392	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	2.30002267573696	3	Spectrogram 1	1	3208	4069	0.2_BB_am_no.harm.wav_2	0.2_BB_am_no.harm.wav_2-3
2.55004535147392	2.75006802721088	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	2.55004535147392	4	Spectrogram 1	1	422	1223	0.2_BB_am_no.harm.wav_3	0.2_BB_am_no.harm.wav_3-4
2.80006802721088	3.00009070294785	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	2.80006802721088	5	Spectrogram 1	1	6905	7917	0.2_BB_am_no.harm.wav_4	0.2_BB_am_no.harm.wav_4-5
3.05009070294785	3.25011337868481	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	3.05009070294785	6	Spectrogram 1	1	8417	9416	0.2_BB_am_no.harm.wav_5	0.2_BB_am_no.harm.wav_5-6
3.30011337868481	3.50013605442177	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	3.30011337868481	7	Spectrogram 1	1	4171	4839	0.2_BB_am_no.harm.wav_6	0.2_BB_am_no.harm.wav_6-7
3.55013605442177	3.75015873015873	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	3.55013605442177	8	Spectrogram 1	1	2097	2961	0.2_BB_am_no.harm.wav_7	0.2_BB_am_no.harm.wav_7-8
3.80015873015873	4.00018140589569	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	3.80015873015873	9	Spectrogram 1	1	9181	10033	0.2_BB_am_no.harm.wav_8	0.2_BB_am_no.harm.wav_8-9
4.05018140589569	4.25020408163265	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	4.05018140589569	10	Spectrogram 1	1	1849	2506	0.2_BB_am_no.harm.wav_9	0.2_BB_am_no.harm.wav_9-10
4.30020408163265	4.50022675736961	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	4.30020408163265	11	Spectrogram 1	1	5632	6830	0.2_BB_am_no.harm.wav_10	0.2_BB_am_no.harm.wav_10-11
4.55022675736961	4.75024943310658	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	4.55022675736961	12	Spectrogram 1	1	1474	2550	0.2_BB_am_no.harm.wav_11	0.2_BB_am_no.harm.wav_11-12
4.80024943310658	5.00027210884354	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	4.80024943310658	13	Spectrogram 1	1	9598	10233	0.2_BB_am_no.harm.wav_12	0.2_BB_am_no.harm.wav_12-13
5.05027210884354	5.2502947845805	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	5.05027210884354	14	Spectrogram 1	1	7317	8141	0.2_BB_am_no.harm.wav_13	0.2_BB_am_no.harm.wav_13-14
5.3002947845805	5.50031746031746	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	5.3002947845805	15	Spectrogram 1	1	100	810	0.2_BB_am_no.harm.wav_14	0.2_BB_am_no.harm.wav_14-15
5.55031746031746	5.75034013605442	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	5.55031746031746	16	Spectrogram 1	1	5396	6152	0.2_BB_am_no.harm.wav_15	0.2_BB_am_no.harm.wav_15-16
5.80034013605442	6.00036281179138	consolidated_master_only_synthetic.wav	/home/marce/Dropbox/Projects/field_course_projects/winner_takes_all_hypothesis/data/raw/recordings/consolidated_master_only_synthetic.wav	5.80034013605442	17	Spectrogram 1	1	9435	10377	0.2_BB_am_no.harm.wav_16	0.2_BB_am_no.harm.wav_16-17
